DataReg;Rag;AAMS;Importo;authmail;SaldoCassa;SaldoProg;SaldoDov
17-May;val7;val7;3.000,00 €;dir6@mycompany;19062;3246;0
17-May;val5;val5;2.000,00 €;ref5@external;5640;-33068;-20164
17-May;val32;val32;2.000,00 €;ref6@external;7923;-18083;-12378
17-May;val29;val29;21.000,00 €;ref5@external;44869;-49852;-27706
17-May;val25;val25;3.000,00 €;ref14@external;37120;-28485;-6525
17-May;val23;val23;2.000,00 €;ref9@external;28550;-36069;-24204
17-May;val20;val20;21.000,00 €;dir2@mycompany;11616;-22667;-8963
17-May;val2;val2;21.000,00 €;ref13@external;33669;-19544;-8882
17-May;val16;val16;3.000,00 €;ref14@external;44869;-49852;-27706
17-May;val14;val14;2.000,00 €;ref14@external;37285;-4164;-2139
17-May;val11;val11;21.000,00 €;ref6@external;21600;7747;0
16-May;val9;val9;21.000,00 €;ref13@external;45885;-26311;-1323
16-May;val6;val6;15.000,00 €;dir5@mycompany;19361;-32040;-23436
16-May;val4;val4;15.000,00 €;ref4@external;14145;7337;0
16-May;val31;val31;15.000,00 €;ref7@external;10564;-19506;-13088
16-May;val28;val28;25.000,00 €;dir4@mycompany;17716;-30215;-6760
16-May;val27;val27;21.000,00 €;ref7@external;11817;-28291;-7102
16-May;val24;val24;15.000,00 €;ref3@external;39284;-4017;-596
16-May;val22;val22;15.000,00 €;ref13@external;4238;-28058;-10705
16-May;val19;val19;25.000,00 €;dir6@mycompany;2025;-18497;-61
16-May;val18;val18;21.000,00 €;dir2@mycompany;39028;-3373;-94
16-May;val15;val15;15.000,00 €;ref7@external;44869;-49852;-27706
16-May;val13;val13;15.000,00 €;ref12@external;22520;-37092;-20097
16-May;val10;val10;25.000,00 €;ref6@external;13798;-44922;-21444
16-May;val1;val1;25.000,00 €;dir2@mycompany;30720;-6802;-2859
15-May;val8;val8;2.000,00 €;dir2@mycompany;36969;-40873;-18897
15-May;val30;val30;2.000,00 €;ref6@external;17402;-25007;-5816
15-May;val3;val3;2.000,00 €;ref2@external;23301;565;0
15-May;val26;val26;2.000,00 €;dir5@mycompany;15074;-28341;-5220
15-May;val21;val21;2.000,00 €;ref12@external;4397;-34495;-7775
15-May;val17;val17;2.000,00 €;dir4@mycompany;40087;-47942;-24536
15-May;val12;val12;2.000,00 €;ref6@external;25140;-17921;-11250
